Emoji,English,Português,URL
🐖,pig,porco,https://github.githubassets.com/images/icons/emoji/unicode/1f437.png?v8
🐩,poodle,poodle,https://github.githubassets.com/images/icons/emoji/unicode/1f429.png?v8
🐇,rabbit,coelho,https://github.githubassets.com/images/icons/emoji/unicode/1f430.png?v8
🐏,ram,carneiro,https://github.githubassets.com/images/icons/emoji/unicode/1f40f.png?v8
🐀,rat,rato,https://github.githubassets.com/images/icons/emoji/unicode/1f400.png?v8
🦏,rhinoceros,rinoceronte,https://github.githubassets.com/images/icons/emoji/unicode/1f98f.png?v8
🐓,rooster,galo,https://github.githubassets.com/images/icons/emoji/unicode/1f413.png?v8
🦕,sauropod,sauropode,https://github.githubassets.com/images/icons/emoji/unicode/1f995.png?v8
🦂,scorpion,escorpiao,https://github.githubassets.com/images/icons/emoji/unicode/1f982.png?v8
🦭,seal,foca,https://github.githubassets.com/images/icons/emoji/unicode/1f9ad.png?v8
🐑,sheep,ovelha,https://github.githubassets.com/images/icons/emoji/unicode/1f411.png?v8
🦐,shrimp,camarao,https://github.githubassets.com/images/icons/emoji/unicode/1f990.png?v8
🦨,skunk,gamba,https://github.githubassets.com/images/icons/emoji/unicode/1f9a8.png?v8
🦥,sloth,preguica,https://github.githubassets.com/images/icons/emoji/unicode/1f9a5.png?v8
🐌,snail,caracol,https://github.githubassets.com/images/icons/emoji/unicode/1f40c.png?v8
🐍,snake,serpente,https://github.githubassets.com/images/icons/emoji/unicode/1f40d.png?v8
🕷️,spider,aranha,https://github.githubassets.com/images/icons/emoji/unicode/1f577.png?v8
🦑,squid,lula,https://github.githubassets.com/images/icons/emoji/unicode/1f991.png?v8
🦢,swan,cisne,https://github.githubassets.com/images/icons/emoji/unicode/1f9a2.png?v8
🦖,t-rex,t-rex,https://github.githubassets.com/images/icons/emoji/unicode/1f996.png?v8
🐅,tiger,tigre,https://github.githubassets.com/images/icons/emoji/unicode/1f42f.png?v8
🦃,turkey,peru,https://github.githubassets.com/images/icons/emoji/unicode/1f983.png?v8
🐢,turtle,tartaruga,https://github.githubassets.com/images/icons/emoji/unicode/1f422.png?v8
🪱,worm,verme,https://github.githubassets.com/images/icons/emoji/unicode/1fab1.png?v8
🐋,whale,baleia,https://github.githubassets.com/images/icons/emoji/unicode/1f433.png?v8
